1545.5175.7 <|> 17578.8
-13.6 <|> -1360.68
-28 <|> -2801.4
-21.6 <|> -2161.08
-7.5 <|> -750.375
14.8 <|> 1480.74
38.6 <|> 3861.93
25.1 <|> 2511.26
-25.5 <|> -2551.28
-49.7 <|> -4972.49
-18.3 <|> -1830.91
31.4 <|> 3141.57
45 <|> 4502.25
7.1 <|> 710.355
-35.2 <|> -3521.76
-28 <|> -2801.4
10.9 <|> 1090.55
26.9 <|> 2691.34
2.9 <|> 290.145
-21.8 <|> -2181.09
-4.3 <|> -430.215
23.4 <|> 2341.17
6.5 <|> 650.325
-27.8 <|> -2781.39
-15.4 <|> -1540.77
23.7 <|> 2371.18
26.3 <|> 2631.32
-7.8 <|> -780.39
-28.3 <|> -2831.41
-13.2 <|> -1320.66
11.9 <|> 1190.6
25.5 <|> 2551.28
15.4 <|> 1540.77
-20 <|> -2001
-34.8 <|> -3481.74
0.9 <|> 90.045
31.8 <|> 3181.59
14.4 <|> 1440.72
-14.3 <|> -1430.71
-13.7 <|> -1370.68
1.3 <|> 130.065
2 <|> 200.1
-6.3 <|> -630.315
5.9 <|> 590.295
23.4 <|> 2341.17
1.3 <|> 130.065
-30.9 <|> -3091.54
-21.7 <|> -2171.09
12.8 <|> 1280.64
33.9 <|> 3391.69
19.7 <|> 1970.98
-18.3 <|> -1830.91
-34.2 <|> -3421.71
-15.3 <|> -1530.77
15.2 <|> 1520.76
30.6 <|> 3061.53
12.9 <|> 1290.64
-10.7 <|> -1070.53
-15.5 <|> -1550.77
-20.7 <|> -2071.03
-8.3 <|> -830.415
25.4 <|> 2541.27
26.5 <|> 2651.32
-2.7 <|> -270.135
-16.9 <|> -1690.84
-16.6 <|> -1660.83
-10.4 <|> -1040.52
7.5 <|> 750.375
24.8 <|> 2481.24
19.9 <|> 1990.99
-8.3 <|> -830.415
-34.2 <|> -3421.71
-25.9 <|> -2591.29
16.7 <|> 1670.83
45.6 <|> 4562.28
19.1 <|> 1910.96
-33.1 <|> -3311.66
-45.8 <|> -4582.29
-0.1 <|> -10.005
43.8 <|> 4382.19
27 <|> 2701.35
-16.7 <|> -1670.83
-32.1 <|> -3211.61
-16.4 <|> -1640.82
18.5 <|> 1850.92
34.3 <|> 3431.71
1.2 <|> 120.06
-29.8 <|> -2981.49
-16.3 <|> -1630.82
11.9 <|> 1190.6
18.8 <|> 1880.94
4.2 <|> 420.21
-10.9 <|> -1090.55
-8.6 <|> -860.43
6.5 <|> 650.325
7.8 <|> 780.39
-13.6 <|> -1360.68
-15.9 <|> -1590.8
16.6 <|> 1660.83
35.8 <|> 3581.79
4.9 <|> 490.245
-46.4 <|> -4642.32
-43.5 <|> -4352.18
25.1 <|> 2511.26
67 <|> 6703.35
19.9 <|> 1990.99
-52.4 <|> -5242.62
-51.1 <|> -5112.56
12.2 <|> 1220.61
44.8 <|> 4482.24
18.9 <|> 1890.94
-20.9 <|> -2091.04
111.4 <|> 11145.6
129.7 <|> 12988.3
128.8 <|> 12898.2
-31.4 <|> -3144.44
-333.9 <|> -33437.2
-253.3 <|> -25365.8
279.4 <|> 27979.5
477.5 <|> 47817.5
16.7 <|> 1672.36
-412.5 <|> -41308.3
-275 <|> -27538.9
106.1 <|> 10625
256.9 <|> 25726.3
176.7 <|> 17695
-18.7 <|> -1872.64
-238.5 <|> -23883.7
-188.2 <|> -18846.6
117.4 <|> 11756.6
206.5 <|> 20679.2
25.7 <|> 2573.63
-89.5 <|> -8962.66
-98.3 <|> -9843.9
-24.1 <|> -2413.41
115.7 <|> 11586.4
64.4 <|> 6449.11
-113.9 <|> -11406.1
-51.5 <|> -5157.28
83.3 <|> 8341.78
17.8 <|> 1782.52
-8.3 <|> -831.174
47.8 <|> 4786.76
-80.5 <|> -8061.38
-170.5 <|> -17074.1
102 <|> 10214.4
324.6 <|> 32505.9
-1.4 <|> -140.198
-424.9 <|> -42550.1
-180.9 <|> -18115.6
402.2 <|> 40276.9
337.7 <|> 33817.8
-274.6 <|> -27498.8
-399.1 <|> -39966.4
114.1 <|> 11426.1
385 <|> 38554.4
33.9 <|> 3394.79
-337.4 <|> -33787.7
-169 <|> -16923.9
241.9 <|> 24224.2
259.9 <|> 26026.8
-70.9 <|> -7100.03
-229.4 <|> -22972.4
-109.4 <|> -10955.5
65.1 <|> 6519.21
165.5 <|> 16573.4
97.4 <|> 9753.77
-66.6 <|> -6669.42
-92.5 <|> -9263.08
-41.4 <|> -4145.85
-77.8 <|> -7791
6.4 <|> 640.905
231.9 <|> 23222.8
131.7 <|> 13188.6
-228.7 <|> -22902.3
-204.4 <|> -20468.9
127.2 <|> 12738
140.3 <|> 14049.8
-76.1 <|> -7620.76
-41.4 <|> -4145.85
110.4 <|> 11055.6
14.4 <|> 1442.04
-141.5 <|> -14170
-39.1 <|> -3915.53
110.4 <|> 11055.6
35.8 <|> 3585.06
-52.4 <|> -5247.41
8.7 <|> 871.23
11.8 <|> 1181.67
-46.6 <|> -4666.59
18.6 <|> 1862.63
50.5 <|> 5057.14
-55.2 <|> -5527.81
-40.4 <|> -4045.71
79.7 <|> 7981.27
44.5 <|> 4456.29
-67.1 <|> -6719.49
-77.6 <|> -7770.97
18.9 <|> 1892.67
128.8 <|> 12898.2
42.9 <|> 4296.07
-162.4 <|> -16263
-90.1 <|> -9022.74
132.2 <|> 13238.7
82.2 <|> 8231.62
-43.7 <|> -4376.18
9.2 <|> 921.301
-26.4 <|> -2643.73
-144.9 <|> -14510.5
-5.8 <|> -580.82
211.3 <|> 21159.9
120.9 <|> 12107.1
-123.8 <|> -12397.5
-181.3 <|> -18155.6
-55.6 <|> -5567.86
70.3 <|> 7039.94
137.8 <|> 13799.5
138.7 <|> 13889.6
-1 <|> -100.141
-226.2 <|> -22652
-245.3 <|> -24564.7
62.2 <|> 6228.8
341.3 <|> 34178.3
229.4 <|> 22972.4
-147 <|> -14720.8
-386.8 <|> -38734.7
-197.9 <|> -19818
267.5 <|> 26787.8
401 <|> 40156.7
11.2 <|> 1121.58
-298.3 <|> -29872.2
-191 <|> -19127
1.2 <|> 120.17
117.9 <|> 11806.7
222.5 <|> 22281.5
121 <|> 12117.1
-205.2 <|> -20549
-306.3 <|> -30673.3
3.2 <|> 320.453
304.8 <|> 30523.1
201 <|> 20128.4
-173.2 <|> -17344.5
-290 <|> -29041
46.7 <|> 4676.6
277.3 <|> 27769.2
23.4 <|> 2343.31
-219.1 <|> -21941
-76.1 <|> -7620.76
116.6 <|> 11676.5
105.5 <|> 10564.9
30.2 <|> 3024.27
-24.3 <|> -2433.44
-101.9 <|> -10204.4
-151.7 <|> -15191.5
-50.4 <|> -5047.13
193.9 <|> 19417.4
326.3 <|> 32676.1
73.7 <|> 7380.42
-392.9 <|> -39345.6
-443 <|> -44362.6
127.9 <|> 12808.1
520.9 <|> 52163.7
149.7 <|> 14991.2
-276.7 <|> -27709.1
-114 <|> -11416.1
78.2 <|> 7831.06
-104 <|> -10414.7
-135.1 <|> -13529.1
169.9 <|> 17014
248.2 <|> 24855.1
-70.7 <|> -7080
-234.5 <|> -23483.2
33 <|> 3304.67
208.9 <|> 20919.5
-75.7 <|> -7580.71
-278.9 <|> -27929.4
34.4 <|> 3444.86
299.7 <|> 30012.4
64.1 <|> 6419.07
-163.2 <|> -16343.1
-36.7 <|> -3675.19
38.6 <|> 3865.46
-86.2 <|> -8632.19
-82 <|> -8211.6
76.1 <|> 7620.76
148.7 <|> 14891
95.3 <|> 9543.48
-33.4 <|> -3344.72
-190.7 <|> -19097
-179.8 <|> -18005.4
76.6 <|> 7670.83
242.8 <|> 24314.3
93.1 <|> 9323.17
-105.3 <|> -10544.9
-122.7 <|> -12287.4
-53.7 <|> -5377.59
19.3 <|> 1932.73
86.9 <|> 8702.29
78.8 <|> 7891.14
-21.6 <|> -2163.05
-88.8 <|> -8892.56
-41.1 <|> -4115.81
29.1 <|> 2914.12
30.6 <|> 3064.33
25.8 <|> 2583.65
56.2 <|> 5627.95
0.6 <|> 60.0849
-135.4 <|> -13559.1
-102.7 <|> -10284.5
98.9 <|> 9903.99
147.6 <|> 14780.9
19.5 <|> 1952.76
-38.3 <|> -3835.42
-38.7 <|> -3875.47
-102.2 <|> -10234.5
-103.4 <|> -10354.6
62.1 <|> 6218.78
201 <|> 20128.4
131.3 <|> 13148.6
-64.9 <|> -6499.18
-208.9 <|> -20919.5
-171.1 <|> -17134.2
39 <|> 3905.52
225.3 <|> 22561.9
183.5 <|> 18376
-63.8 <|> -6389.02
-219.4 <|> -21971
-76.7 <|> -7680.85
101.8 <|> 10194.4
41.5 <|> 4155.87
-45.7 <|> -4576.46
54 <|> 5407.64
121.9 <|> 12207.2
-29.5 <|> -2954.17
-181.8 <|> -18205.7
-96.3 <|> -9643.62
95.8 <|> 9593.55
146 <|> 14620.6
53.9 <|> 5397.62
-38.4 <|> -3845.43
-87.9 <|> -8802.43
-105.8 <|> -10595
-36.4 <|> -3645.15
124.9 <|> 12507.7
184 <|> 18426
-7 <|> -700.99
-217.4 <|> -21770.7
-122.3 <|> -12247.3
125.6 <|> 12577.8
143.8 <|> 14400.3
-4.4 <|> -440.622
-43.7 <|> -4376.18
-42.6 <|> -4266.02
-92.6 <|> -9273.1
-23.6 <|> -2363.34
150.9 <|> 15111.3
151.2 <|> 15141.4
-75.6 <|> -7570.69
-230.1 <|> -23042.5
-85.6 <|> -8572.11
190.1 <|> 19036.9
215.8 <|> 21610.5
-58.8 <|> -5888.32
-228.7 <|> -22902.3
-73.4 <|> -7350.38
130.4 <|> 13058.4
128.1 <|> 12828.1
1 <|> 100.141
-83.4 <|> -8351.79
-79.2 <|> -7931.2
-21.2 <|> -2123
60.7 <|> 6078.58
101.3 <|> 10144.3
28.5 <|> 2854.03
-92 <|> -9213.01
-107.6 <|> -10775.2
3.4 <|> 340.481
108.9 <|> 10905.4
91.4 <|> 9152.93
-33.1 <|> -3314.68
