,IDHM,IDHM Educação,IDHM Renda,IDHM Longevidade,Nome_Município,abstencao
322,0.609,0.504,0.57,0.786,SANTA HELENA,53.16455696202531
323,0.744,0.678,0.738,0.823,SANTA HELENA,53.16455696202531
324,0.727,0.653,0.705,0.833,SANTA HELENA,53.16455696202531
325,0.674,0.615,0.633,0.788,SANTA INÊS,41.45854145854146
326,0.572,0.492,0.54,0.706,SANTA INÊS,41.45854145854146
327,0.574,0.47,0.571,0.704,SANTA INÊS,41.45854145854146
328,0.717,0.659,0.675,0.827,SANTA INÊS,41.45854145854146
329,0.55,0.452,0.525,0.7,SANTA LUZIA,40.87947882736157
330,0.682,0.635,0.62,0.804,SANTA LUZIA,40.87947882736157
331,0.556,0.396,0.564,0.768,SANTA LUZIA,40.87947882736157
332,0.599,0.51,0.583,0.723,SANTA LUZIA DO PARUÁ,41.87725631768953
333,0.609,0.551,0.553,0.743,SANTA RITA,39.6039603960396
334,0.627,0.534,0.597,0.774,SANTA RITA,39.6039603960396
335,0.602,0.545,0.525,0.762,SÃO BENTO,51.68539325842697
336,0.58,0.424,0.597,0.769,SÃO BENTO,51.68539325842697
337,0.572,0.479,0.514,0.762,SÃO BERNARDO,47.8330658105939
338,0.582,0.504,0.549,0.713,SÃO DOMINGOS DO MARANHÃO,46.55737704918032
339,0.609,0.542,0.554,0.753,SÃO JOÃO DO PARAÍSO,38.49765258215962
340,0.615,0.522,0.613,0.726,SÃO JOÃO DOS PATOS,38.153310104529616
341,0.708,0.7,0.642,0.79,SÃO JOSÉ DE RIBAMAR,38.3199079401611
342,0.768,0.752,0.741,0.813,SÃO LUÍS,30.96451403687575
343,0.616,0.515,0.627,0.723,SÃO MATEUS DO MARANHÃO,46.478873239436616
344,0.61,0.521,0.583,0.749,SÃO RAIMUNDO DAS MANGABEIRAS,32.84132841328413
345,0.592,0.541,0.504,0.762,SÃO VICENTE FERRER,49.50980392156863
346,0.549,0.414,0.558,0.715,SÃO VICENTE FERRER,49.50980392156863
347,0.537,0.427,0.498,0.73,TIMBIRAS,37.83783783783784
348,0.649,0.579,0.614,0.768,TIMON,34.77715003138732
349,0.572,0.483,0.534,0.726,TUNTUM,40.57971014492754
350,0.561,0.461,0.493,0.776,TURIAÇU,56.42857142857143
351,0.561,0.451,0.543,0.722,TUTÓIA,51.64179104477612
352,0.588,0.522,0.506,0.77,URBANO SANTOS,38.793103448275865
353,0.542,0.425,0.487,0.768,VARGEM GRANDE,34.59915611814346
