,IDHM,IDHM Educação,IDHM Renda,IDHM Longevidade,municipio,codigo
1227,0.592,0.468,0.57,0.779,Tenente Ananias,241410
1228,0.623,0.586,0.559,0.737,Tenente Laurentino Cruz,241415
1229,0.645,0.504,0.672,0.794,Tibau Do Sul,241420
1230,0.64,0.591,0.614,0.723,Timbaúba Dos Batistas,241430
1231,0.572,0.466,0.562,0.716,Touros,241440
1232,0.602,0.516,0.579,0.73,Triunfo Potiguar,241445
1233,0.618,0.506,0.59,0.792,Umarizal,241450
1234,0.596,0.516,0.542,0.758,Upanema,241460
1235,0.626,0.552,0.577,0.771,Várzea,241470
1236,0.555,0.473,0.501,0.722,Venha-Ver,241475
1237,0.587,0.494,0.558,0.735,Vera Cruz,241480
1238,0.592,0.502,0.552,0.747,Viçosa,241490
1239,0.576,0.471,0.561,0.722,Vila Flor,241500
1240,0.572,0.484,0.542,0.712,Água Branca,250010
1241,0.597,0.447,0.632,0.753,Aguiar,250020
1242,0.582,0.43,0.576,0.797,Alagoa Grande,250030
1243,0.576,0.451,0.567,0.749,Alagoa Nova,250040
1244,0.595,0.462,0.574,0.795,Alagoinha,250050
1245,0.578,0.458,0.55,0.765,Alcantil,250053
1246,0.548,0.413,0.532,0.749,Algodão De Jandaíra,250057
1247,0.582,0.465,0.544,0.778,Alhandra,250060
1248,0.608,0.49,0.586,0.782,São João Do Rio Do Peixe,250070
1249,0.606,0.551,0.537,0.752,Amparo,250073
1250,0.578,0.456,0.567,0.747,Aparecida,250077
1251,0.549,0.412,0.54,0.745,Araçagi,250080
1252,0.548,0.407,0.569,0.712,Arara,250090
1253,0.567,0.439,0.549,0.758,Araruna,250100
1254,0.594,0.467,0.593,0.756,Areia,250110
1255,0.562,0.462,0.566,0.68,Areia De Baraúnas,250115
1256,0.608,0.503,0.573,0.779,Areial,250120
1257,0.548,0.411,0.537,0.745,Aroeiras,250130
1258,0.609,0.51,0.601,0.738,Assunção,250135
1259,0.581,0.495,0.541,0.731,Baía Da Traição,250140
1260,0.568,0.43,0.555,0.766,Bananeiras,250150
1261,0.558,0.459,0.526,0.718,Baraúna,250153
1262,0.567,0.465,0.526,0.747,Barra De Santana,250157
1263,0.562,0.434,0.542,0.753,Barra De Santa Rosa,250160
1264,0.572,0.44,0.584,0.728,Barra De São Miguel,250170
1265,0.649,0.566,0.619,0.779,Bayeux,250180
1266,0.592,0.492,0.557,0.759,Belém,250190
1267,0.578,0.451,0.55,0.779,Belém Do Brejo Do Cruz,250200
1268,0.558,0.462,0.526,0.716,Bernardino Batista,250205
1269,0.599,0.48,0.566,0.79,Boa Ventura,250210
1270,0.649,0.582,0.59,0.796,Boa Vista,250215
1271,0.597,0.477,0.584,0.762,Bom Jesus,250220
1272,0.592,0.494,0.558,0.752,Bom Sucesso,250230
1273,0.574,0.427,0.564,0.786,Bonito De Santa Fé,250240
1274,0.607,0.496,0.592,0.763,Boqueirão,250250
1275,0.61,0.496,0.575,0.794,Igaracy,250260
1276,0.558,0.426,0.544,0.75,Borborema,250270
1277,0.597,0.463,0.575,0.798,Brejo Do Cruz,250280
1278,0.619,0.541,0.564,0.776,Brejo Dos Santos,250290
1279,0.602,0.509,0.565,0.757,Caaporã,250300
1280,0.611,0.523,0.574,0.759,Cabaceiras,250310
1281,0.748,0.651,0.782,0.822,Cabedelo,250320
1282,0.587,0.453,0.583,0.766,Cachoeira Dos Índios,250330
1283,0.596,0.497,0.553,0.771,Cacimba De Areia,250340
1284,0.564,0.419,0.551,0.777,Cacimba De Dentro,250350
1285,0.523,0.425,0.501,0.672,Cacimbas,250355
1286,0.592,0.488,0.58,0.733,Caiçara,250360
1287,0.679,0.574,0.668,0.815,Cajazeiras,250370
1288,0.55,0.413,0.521,0.773,Cajazeirinhas,250375
1289,0.568,0.451,0.562,0.723,Caldas Brandão,250380
1290,0.567,0.431,0.549,0.77,Camalaú,250390
1291,0.72,0.654,0.702,0.812,Campina Grande,250400
1292,0.533,0.4,0.52,0.728,Capim,250403
1293,0.585,0.485,0.58,0.71,Caraúbas,250407
1294,0.603,0.543,0.529,0.765,Carrapateira,250410
1295,0.514,0.379,0.492,0.73,Casserengue,250415
1296,0.574,0.455,0.553,0.753,Catingueira,250420
1297,0.64,0.539,0.617,0.787,Catolé Do Rocha,250430
1298,0.623,0.502,0.617,0.782,Caturité,250435
1299,0.592,0.476,0.577,0.754,Conceição,250440
1300,0.594,0.476,0.573,0.769,Condado,250450
1301,0.618,0.5,0.591,0.797,Conde,250460
1302,0.581,0.477,0.562,0.731,Congo,250470
1303,0.592,0.452,0.578,0.794,Coremas,250480
1304,0.641,0.567,0.586,0.794,Coxixola,250485
1305,0.552,0.408,0.531,0.778,Cruz Do Espírito Santo,250490
1306,0.566,0.448,0.545,0.742,Cubati,250500
1307,0.591,0.47,0.574,0.766,Cuité,250510
1308,0.57,0.45,0.563,0.732,Cuitegi,250520
1309,0.524,0.398,0.529,0.683,Cuité De Mamanguape,250523
1310,0.529,0.392,0.528,0.715,Curral De Cima,250527
1311,0.606,0.491,0.613,0.739,Curral Velho,250530
1312,0.521,0.391,0.503,0.72,Damião,250535
1313,0.58,0.49,0.551,0.724,Desterro,250540
1314,0.566,0.424,0.554,0.773,Vista Serrana,250550
1315,0.593,0.496,0.562,0.748,Diamante,250560
1316,0.545,0.447,0.524,0.69,Dona Inês,250570
1317,0.603,0.488,0.565,0.795,Duas Estradas,250580
1318,0.595,0.492,0.554,0.773,Emas,250590
1319,0.623,0.526,0.598,0.767,Esperança,250600
1320,0.56,0.432,0.543,0.749,Fagundes,250610
1321,0.641,0.542,0.631,0.77,Frei Martinho,250620
1322,0.513,0.373,0.491,0.737,Gado Bravo,250625
1323,0.673,0.586,0.641,0.812,Guarabira,250630
1324,0.556,0.435,0.544,0.728,Gurinhém,250640
1325,0.625,0.581,0.576,0.729,Gurjão,250650
1326,0.586,0.479,0.548,0.768,Ibiara,250660
1327,0.557,0.461,0.524,0.715,Imaculada,250670
1328,0.592,0.471,0.573,0.768,Ingá,250680
1329,0.613,0.536,0.592,0.727,Itabaiana,250690
1330,0.615,0.517,0.607,0.742,Itaporanga,250700
1331,0.564,0.437,0.543,0.757,Itapororoca,250710
1332,0.562,0.436,0.549,0.742,Itatuba,250720
1333,0.558,0.435,0.554,0.72,Jacaraú,250730
1334,0.603,0.476,0.577,0.798,Jericó,250740
1335,0.763,0.693,0.77,0.832,João Pessoa,250750
1336,0.579,0.465,0.544,0.768,Juarez Távora,250760
1337,0.567,0.435,0.557,0.753,Juazeirinho,250770
1338,0.617,0.576,0.571,0.715,Junco Do Seridó,250780
1339,0.548,0.448,0.544,0.677,Juripiranga,250790
1340,0.57,0.443,0.552,0.758,Juru,250800
1341,0.563,0.448,0.533,0.747,Lagoa,250810
1342,0.57,0.444,0.539,0.772,Lagoa De Dentro,250820
1343,0.627,0.516,0.621,0.769,Lagoa Seca,250830
1344,0.533,0.38,0.532,0.747,Lastro,250840
1345,0.566,0.473,0.523,0.732,Livramento,250850
1346,0.583,0.47,0.544,0.776,Logradouro,250855
1347,0.583,0.469,0.577,0.734,Lucena,250860
1348,0.542,0.429,0.52,0.712,Mãe D'Água,250870
1349,0.642,0.533,0.62,0.8,Malta,250880
1350,0.585,0.453,0.585,0.756,Mamanguape,250890
1351,0.543,0.426,0.537,0.698,Manaíra,250900
1352,0.529,0.408,0.525,0.691,Marcação,250905
1353,0.548,0.429,0.553,0.692,Mari,250910
1354,0.608,0.512,0.582,0.753,Marizópolis,250915
1355,0.567,0.441,0.552,0.747,Massaranduba,250920
1356,0.536,0.427,0.533,0.675,Mataraca,250930
1357,0.541,0.4,0.531,0.747,Matinhas,250933
1358,0.565,0.419,0.566,0.76,Mato Grosso,250937
1359,0.572,0.474,0.54,0.73,Maturéia,250939
1360,0.574,0.481,0.538,0.732,Mogeiro,250940
1361,0.59,0.505,0.545,0.748,Montadas,250950
1362,0.587,0.463,0.579,0.755,Monte Horebe,250960
1363,0.628,0.558,0.625,0.709,Monteiro,250970
1364,0.565,0.423,0.548,0.778,Mulungu,250980
1365,0.541,0.432,0.516,0.71,Natuba,250990
1366,0.562,0.449,0.528,0.747,Nazarezinho,251000
1367,0.601,0.498,0.576,0.758,Nova Floresta,251010
1368,0.573,0.453,0.557,0.744,Nova Olinda,251020
1369,0.595,0.488,0.567,0.762,Nova Palmeira,251030
1370,0.572,0.452,0.533,0.776,Olho D'Água,251040
1371,0.603,0.54,0.531,0.766,Olivedos,251050
1372,0.614,0.518,0.585,0.764,Ouro Velho,251060
1373,0.584,0.467,0.583,0.733,Parari,251065
1374,0.62,0.534,0.566,0.79,Passagem,251070
1375,0.701,0.628,0.667,0.821,Patos,251080
1376,0.587,0.461,0.587,0.747,Paulista,251090
1377,0.599,0.532,0.532,0.761,Pedra Branca,251100
1378,0.574,0.458,0.564,0.733,Pedra Lavrada,251110
1379,0.59,0.468,0.568,0.771,Pedras De Fogo,251120
1380,0.621,0.55,0.593,0.736,Piancó,251130
1381,0.608,0.506,0.596,0.745,Picuí,251140
1382,0.579,0.461,0.544,0.775,Pilar,251150
1383,0.56,0.409,0.559,0.767,Pilões,251160
1384,0.564,0.421,0.532,0.802,Pilõezinhos,251170
1385,0.595,0.499,0.566,0.745,Pirpirituba,251180
1386,0.57,0.456,0.538,0.753,Pitimbu,251190
1387,0.591,0.477,0.556,0.779,Pocinhos,251200
1388,0.525,0.408,0.506,0.702,Poço Dantas,251203
1389,0.612,0.497,0.578,0.797,Poço De José De Moura,251207
1390,0.634,0.515,0.629,0.787,Pombal,251210
1391,0.608,0.514,0.566,0.772,Prata,251220
1392,0.606,0.514,0.6,0.72,Princesa Isabel,251230
1393,0.617,0.542,0.574,0.754,Puxinanã,251240
1394,0.608,0.489,0.578,0.796,Queimadas,251250
1395,0.622,0.579,0.564,0.737,Quixabá,251260
1396,0.607,0.474,0.592,0.797,Remígio,251270
1397,0.542,0.399,0.529,0.754,Pedro Régis,251272
1398,0.574,0.481,0.515,0.763,Riachão,251274
1399,0.553,0.417,0.561,0.721,Riachão Do Bacamarte,251275
1400,0.555,0.426,0.537,0.748,Riachão Do Poço,251276
1401,0.594,0.502,0.569,0.735,Riacho De Santo Antônio,251278
1402,0.568,0.447,0.546,0.752,Riacho Dos Cavalos,251280
1403,0.585,0.48,0.562,0.742,Rio Tinto,251290
1404,0.563,0.454,0.531,0.739,Salgadinho,251300
1405,0.568,0.448,0.531,0.77,Salgado De São Félix,251310
1406,0.525,0.402,0.515,0.699,Santa Cecília,251315
1407,0.618,0.523,0.578,0.779,Santa Cruz,251320
1408,0.609,0.504,0.57,0.786,Santa Helena,251330
1409,0.572,0.492,0.54,0.706,Santa Inês,251335
1410,0.682,0.635,0.62,0.804,Santa Luzia,251340
1411,0.535,0.414,0.488,0.756,Santana De Mangueira,251350
1412,0.594,0.479,0.568,0.772,Santana Dos Garrotes,251360
1413,0.622,0.568,0.553,0.765,Santarém,251365
1414,0.627,0.534,0.597,0.774,Santa Rita,251370
1415,0.627,0.513,0.586,0.82,Santa Teresinha,251380
1416,0.6,0.476,0.568,0.797,Santo André,251385
1417,0.58,0.424,0.597,0.769,São Bento,251390
1418,0.606,0.491,0.575,0.787,São Bentinho,251392
1419,0.589,0.438,0.603,0.773,São Domingos Do Cariri,251394
1420,0.548,0.394,0.555,0.754,São Domingos,251396
1421,0.58,0.481,0.56,0.726,São Francisco,251398
1422,0.622,0.488,0.618,0.797,São João Do Cariri,251400
1423,0.552,0.424,0.523,0.758,São João Do Tigre,251410
1424,0.53,0.389,0.53,0.722,São José Da Lagoa Tapada,251420
1425,0.565,0.434,0.545,0.762,São José De Caiana,251430
1426,0.577,0.448,0.543,0.79,São José De Espinharas,251440
1427,0.541,0.406,0.527,0.738,São José Dos Ramos,251445
1428,0.591,0.461,0.594,0.755,São José De Piranhas,251450
1429,0.565,0.443,0.533,0.765,São José De Princesa,251455
1430,0.578,0.493,0.549,0.713,São José Do Bonfim,251460
1431,0.581,0.473,0.535,0.776,São José Do Brejo Do Cruz,251465
1432,0.617,0.514,0.584,0.781,São José Do Sabugi,251470
1433,0.556,0.407,0.542,0.778,São José Dos Cordeiros,251480
1434,0.641,0.558,0.617,0.765,São Mamede,251490
1435,0.548,0.443,0.516,0.721,São Miguel De Taipu,251500
1436,0.594,0.471,0.561,0.795,São Sebastião De Lagoa De Roça,251510
1437,0.581,0.459,0.561,0.763,São Sebastião Do Umbuzeiro,251520
1438,0.569,0.461,0.563,0.711,Sapé,251530
1439,0.555,0.453,0.528,0.714,Seridó,251540
1440,0.628,0.537,0.598,0.77,Serra Branca,251550
1441,0.626,0.544,0.57,0.792,Serra Da Raiz,251560
1442,0.586,0.491,0.549,0.745,Serra Grande,251570
1443,0.57,0.424,0.565,0.772,Serra Redonda,251580
1444,0.547,0.392,0.536,0.779,Serraria,251590
1445,0.621,0.561,0.554,0.769,Sertãozinho,251593
1446,0.573,0.477,0.525,0.753,Sobrado,251597
1447,0.595,0.468,0.592,0.762,Solânea,251600
1448,0.616,0.506,0.598,0.772,Soledade,251610
1449,0.573,0.46,0.531,0.769,Sossêgo,251615
1450,0.668,0.567,0.645,0.814,Sousa,251620
1451,0.627,0.534,0.602,0.765,Sumé,251630
1452,0.551,0.45,0.513,0.726,Tacima,251640
1453,0.578,0.456,0.564,0.749,Taperoá,251650
1454,0.586,0.462,0.56,0.777,Tavares,251660
1455,0.605,0.527,0.566,0.741,Teixeira,251670
1456,0.581,0.49,0.565,0.707,Tenório,251675
1457,0.609,0.501,0.578,0.78,Triunfo,251680
1458,0.636,0.528,0.612,0.797,Uiraúna,251690
1459,0.584,0.514,0.545,0.712,Umbuzeiro,251700
1460,0.707,0.714,0.619,0.8,Várzea,251710
1461,0.571,0.455,0.537,0.762,Vieirópolis,251720
1462,0.623,0.587,0.567,0.725,Zabelê,251740
1463,0.679,0.632,0.625,0.791,Abreu E Lima,260005
1464,0.657,0.565,0.623,0.807,Afogados Da Ingazeira,260010
1465,0.588,0.493,0.542,0.761,Afrânio,260020
1466,0.592,0.47,0.581,0.76,Agrestina,260030
1467,0.553,0.432,0.514,0.761,Água Preta,260040
1468,0.526,0.385,0.546,0.691,Águas Belas,260050
1469,0.599,0.472,0.569,0.801,Alagoinha,260060
1470,0.604,0.488,0.565,0.799,Aliança,260070
1471,0.598,0.482,0.559,0.792,Altinho,260080
1472,0.58,0.454,0.575,0.748,Amaraji,260090
1473,0.572,0.448,0.555,0.751,Angelim,260100
1474,0.592,0.498,0.544,0.765,Araçoiaba,260105
1475,0.602,0.467,0.595,0.785,Araripina,260110
1476,0.667,0.567,0.654,0.799,Arcoverde,260120
1477,0.577,0.474,0.558,0.726,Barra De Guabiraba,260130
1478,0.586,0.491,0.561,0.73,Barreiros,260140
1479,0.578,0.479,0.537,0.749,Belém De Maria,260150
1480,0.642,0.553,0.611,0.784,Belém Do São Francisco,260160
1481,0.629,0.514,0.617,0.783,Belo Jardim,260170
1482,0.559,0.441,0.533,0.742,Betânia,260180
1483,0.606,0.487,0.608,0.752,Bezerros,260190
1484,0.565,0.445,0.543,0.745,Bodocó,260200
1485,0.563,0.433,0.585,0.704,Bom Conselho,260210
1486,0.602,0.515,0.552,0.767,Bom Jardim,260220
1487,0.561,0.42,0.559,0.754,Bonito,260230
1488,0.547,0.417,0.54,0.725,Brejão,260240
1489,0.574,0.493,0.563,0.681,Brejinho,260250
1490,0.562,0.417,0.581,0.734,Brejo Da Madre De Deus,260260
1491,0.593,0.481,0.556,0.778,Buenos Aires,260270
1492,0.527,0.395,0.497,0.746,Buíque,260280
1493,0.686,0.609,0.654,0.812,Cabo De Santo Agostinho,260290
1494,0.623,0.539,0.581,0.773,Cabrobó,260300
1495,0.579,0.439,0.587,0.753,Cachoeirinha,260310
1496,0.522,0.392,0.497,0.732,Caetés,260320
1497,0.566,0.468,0.529,0.731,Calçado,260330
1498,0.571,0.46,0.567,0.715,Calumbi,260340
1499,0.692,0.628,0.656,0.805,Camaragibe,260345
1500,0.588,0.472,0.585,0.738,Camocim De São Félix,260350
1501,0.606,0.514,0.57,0.76,Camutanga,260360
1502,0.541,0.403,0.543,0.725,Canhotinho,260370
1503,0.549,0.419,0.529,0.746,Capoeiras,260380
1504,0.583,0.505,0.54,0.727,Carnaíba,260390
1505,0.573,0.508,0.491,0.755,Carnaubeira Da Penha,260392
1506,0.68,0.619,0.63,0.806,Carpina,260400
1507,0.677,0.569,0.681,0.799,Caruaru,260410
1508,0.567,0.489,0.518,0.721,Casinhas,260415
1509,0.609,0.515,0.578,0.76,Catende,260420
1510,0.615,0.573,0.565,0.717,Cedro,260430
1511,0.604,0.529,0.546,0.762,Chã De Alegria,260440
1512,0.599,0.443,0.603,0.803,Chã Grande,260450
1513,0.602,0.527,0.581,0.713,Condado,260460
1514,0.536,0.385,0.551,0.726,Correntes,260470
1515,0.568,0.478,0.541,0.707,Cortês,260480
1516,0.572,0.47,0.553,0.72,Cumaru,260490
1517,0.592,0.453,0.601,0.763,Cupira,260500
1518,0.594,0.489,0.607,0.706,Custódia,260510
1519,0.589,0.495,0.558,0.741,Dormentes,260515
1520,0.632,0.543,0.594,0.781,Escada,260520
1521,0.576,0.454,0.543,0.775,Exu,260530
1522,0.6,0.46,0.581,0.807,Feira Nova,260540
1523,0.788,0.748,0.781,0.839,Fernando De Noronha,260545
1524,0.622,0.519,0.589,0.787,Ferreiros,260550
1525,0.556,0.423,0.544,0.745,Flores,260560
1526,0.626,0.538,0.588,0.775,Floresta,260570
1527,0.576,0.438,0.575,0.758,Frei Miguelinho,260580
1528,0.602,0.532,0.541,0.759,Gameleira,260590
1529,0.664,0.556,0.662,0.795,Garanhuns,260600
1530,0.604,0.506,0.57,0.765,Glória Do Goitá,260610
1531,0.651,0.576,0.614,0.779,Goiana,260620
1532,0.595,0.502,0.543,0.773,Granito,260630
1533,0.634,0.51,0.63,0.794,Gravatá,260640
1534,0.528,0.369,0.518,0.768,Iati,260650
1535,0.552,0.446,0.533,0.706,Ibimirim,260660
1536,0.58,0.476,0.545,0.753,Ibirajuba,260670
1537,0.665,0.606,0.622,0.781,Igarassu,260680
1538,0.598,0.48,0.58,0.77,Iguaraci,260690
1539,0.523,0.4,0.503,0.711,Inajá,260700
1540,0.608,0.51,0.575,0.766,Ingazeira,260710
1541,0.619,0.499,0.613,0.774,Ipojuca,260720
1542,0.55,0.433,0.541,0.712,Ipubi,260730
1543,0.595,0.523,0.567,0.712,Itacuruba,260740
1544,0.51,0.364,0.531,0.688,Itaíba,260750
1545,0.653,0.548,0.627,0.809,Ilha De Itamaracá,260760
1546,0.575,0.463,0.566,0.727,Itambé,260765
1547,0.592,0.494,0.598,0.704,Itapetim,260770
1548,0.633,0.564,0.589,0.764,Itapissuma,260775
1549,0.586,0.509,0.554,0.715,Itaquitinga,260780
1550,0.717,0.642,0.692,0.83,Jaboatão Dos Guararapes,260790
1551,0.575,0.454,0.557,0.751,Jaqueira,260795
1552,0.53,0.381,0.549,0.712,Jataúba,260800
1553,0.645,0.573,0.604,0.775,Jatobá,260805
1554,0.576,0.466,0.569,0.72,João Alfredo,260810
1555,0.554,0.449,0.561,0.676,Joaquim Nabuco,260820
1556,0.55,0.451,0.541,0.681,Jucati,260825
1557,0.575,0.487,0.56,0.698,Jupi,260830
1558,0.509,0.372,0.522,0.681,Jurema,260840
1559,0.609,0.505,0.566,0.789,Lagoa Do Carro,260845
1560,0.602,0.509,0.555,0.774,Lagoa De Itaenga,260850
1561,0.525,0.369,0.536,0.733,Lagoa Do Ouro,260860
1562,0.551,0.416,0.555,0.725,Lagoa Dos Gatos,260870
1563,0.597,0.52,0.581,0.705,Lagoa Grande,260875
1564,0.611,0.503,0.599,0.758,Lajedo,260880
1565,0.663,0.583,0.628,0.797,Limoeiro,260890
1566,0.609,0.508,0.571,0.778,Macaparana,260900
1567,0.578,0.466,0.541,0.767,Machados,260910
1568,0.487,0.354,0.477,0.682,Manari,260915
1569,0.534,0.403,0.541,0.698,Maraial,260920
1570,0.591,0.525,0.512,0.769,Mirandiba,260930
1571,0.652,0.564,0.61,0.805,Moreno,260940
1572,0.662,0.604,0.608,0.789,Nazaré Da Mata,260950
1573,0.735,0.675,0.704,0.836,Olinda,260960
1574,0.61,0.528,0.545,0.787,Orobó,260970
1575,0.61,0.553,0.536,0.766,Orocó,260980
1576,0.572,0.419,0.578,0.773,Ouricuri,260990
1577,0.622,0.55,0.588,0.744,Palmares,261000
1578,0.549,0.438,0.554,0.681,Palmeirina,261010
1579,0.569,0.433,0.546,0.778,Panelas,261020
1580,0.537,0.418,0.528,0.703,Paranatama,261030
1581,0.599,0.499,0.556,0.776,Parnamirim,261040
1582,0.592,0.487,0.559,0.763,Passira,261050
1583,0.639,0.545,0.612,0.782,Paudalho,261060
1584,0.732,0.703,0.673,0.83,Paulista,261070
1585,0.567,0.445,0.55,0.743,Pedra,261080
1586,0.61,0.506,0.597,0.751,Pesqueira,261090
1587,0.623,0.531,0.604,0.755,Petrolândia,261100
1588,0.697,0.611,0.695,0.799,Petrolina,261110
1589,0.528,0.402,0.542,0.677,Poção,261120
1590,0.598,0.463,0.584,0.79,Pombos,261130
1591,0.58,0.444,0.572,0.767,Primavera,261140
1592,0.552,0.427,0.53,0.743,Quipapá,261150
1593,0.577,0.482,0.53,0.752,Quixaba,261153
1594,0.772,0.698,0.798,0.825,Recife,261160
1595,0.57,0.418,0.586,0.757,Riacho Das Almas,261170
1596,0.602,0.516,0.595,0.711,Ribeirão,261180
1597,0.613,0.506,0.562,0.809,Rio Formoso,261190
1598,0.585,0.44,0.581,0.784,Sairé,261200
1599,0.534,0.405,0.516,0.73,Salgadinho,261210
1600,0.669,0.58,0.645,0.799,Salgueiro,261220
1601,0.559,0.421,0.559,0.744,Saloá,261230
1602,0.603,0.514,0.564,0.758,Sanharó,261240
1603,0.549,0.438,0.522,0.722,Santa Cruz,261245
1604,0.612,0.523,0.557,0.786,Santa Cruz Da Baixa Verde,261247
1605,0.648,0.506,0.667,0.806,Santa Cruz Do Capibaribe,261250
1606,0.533,0.406,0.496,0.752,Santa Filomena,261255
1607,0.59,0.472,0.564,0.773,Santa Maria Da Boa Vista,261260
1608,0.548,0.393,0.571,0.735,Santa Maria Do Cambucá,261270
1609,0.593,0.524,0.54,0.737,Santa Terezinha,261280
1610,0.53,0.406,0.499,0.736,São Benedito Do Sul,261290
1611,0.593,0.446,0.593,0.789,São Bento Do Una,261300
1612,0.591,0.469,0.583,0.756,São Caitano,261310
1613,0.57,0.426,0.565,0.768,São João,261320
1614,0.537,0.381,0.549,0.741,São Joaquim Do Monte,261330
1615,0.608,0.522,0.585,0.736,São José Da Coroa Grande,261340
1616,0.61,0.52,0.569,0.769,São José Do Belmonte,261350
1617,0.635,0.554,0.602,0.769,São José Do Egito,261360
1618,0.653,0.571,0.614,0.793,São Lourenço Da Mata,261370
1619,0.549,0.414,0.558,0.715,São Vicente Ferrer,261380
1620,0.661,0.571,0.632,0.8,Serra Talhada,261390
1621,0.595,0.512,0.542,0.76,Serrita,261400
1622,0.613,0.51,0.601,0.752,Sertânia,261410
1623,0.597,0.492,0.568,0.763,Sirinhaém,261420
1624,0.6,0.54,0.522,0.768,Moreilândia,261430
1625,0.585,0.485,0.547,0.755,Solidão,261440
1626,0.635,0.548,0.617,0.756,Surubim,261450
1627,0.605,0.504,0.57,0.77,Tabira,261460
1628,0.554,0.423,0.536,0.748,Tacaimbó,261470
1629,0.573,0.507,0.521,0.711,Tacaratu,261480
1630,0.593,0.479,0.583,0.745,Tamandaré,261485
1631,0.641,0.52,0.636,0.796,Taquaritinga Do Norte,261500
1632,0.545,0.425,0.536,0.711,Terezinha,261510
1633,0.599,0.533,0.545,0.741,Terra Nova,261520
1634,0.618,0.519,0.592,0.769,Timbaúba,261530
1635,0.618,0.452,0.655,0.797,Toritama,261540
1636,0.605,0.504,0.567,0.776,Tracunhaém,261550
1637,0.595,0.455,0.602,0.768,Trindade,261560
1638,0.67,0.591,0.624,0.817,Triunfo,261570
1639,0.519,0.379,0.494,0.747,Tupanatinga,261580
1640,0.634,0.557,0.612,0.749,Tuparetama,261590
1641,0.592,0.484,0.57,0.751,Venturosa,261600
1642,0.605,0.52,0.56,0.76,Verdejante,261610
1643,0.563,0.461,0.532,0.726,Vertente Do Lério,261618
1644,0.582,0.45,0.602,0.728,Vertentes,261620
1645,0.605,0.534,0.551,0.754,Vicência,261630
1646,0.64,0.543,0.629,0.768,Vitória De Santo Antão,261640
1647,0.552,0.436,0.549,0.703,Xexéu,261650
1648,0.549,0.432,0.527,0.728,Água Branca,270010
1649,0.568,0.444,0.546,0.756,Anadia,270020
1650,0.649,0.549,0.638,0.78,Arapiraca,270030
1651,0.561,0.431,0.545,0.752,Atalaia,270040
1652,0.557,0.428,0.552,0.732,Barra De Santo Antônio,270050
1653,0.615,0.475,0.638,0.767,Barra De São Miguel,270060
1654,0.594,0.496,0.563,0.752,Batalha,270070
1655,0.593,0.464,0.587,0.764,Belém,270080
1656,0.517,0.376,0.507,0.725,Belo Monte,270090
1657,0.604,0.518,0.56,0.758,Boca Da Mata,270100
1658,0.513,0.362,0.534,0.699,Branquinha,270110
1659,0.531,0.384,0.559,0.697,Cacimbinhas,270120
1660,0.562,0.473,0.542,0.691,Cajueiro,270130
1661,0.559,0.435,0.55,0.729,Campestre,270135
1662,0.57,0.47,0.531,0.742,Campo Alegre,270140
1663,0.524,0.387,0.502,0.739,Campo Grande,270150
1664,0.506,0.357,0.504,0.719,Canapi,270160
1665,0.573,0.456,0.554,0.743,Capela,270170
1666,0.526,0.398,0.517,0.709,Carneiros,270180
1667,0.575,0.481,0.537,0.737,Chã Preta,270190
1668,0.533,0.398,0.52,0.73,Coité Do Nóia,270200
1669,0.517,0.363,0.548,0.693,Colônia Leopoldina,270210
1670,0.586,0.457,0.582,0.757,Coqueiro Seco,270220
1671,0.626,0.541,0.591,0.769,Coruripe,270230
1672,0.525,0.408,0.517,0.687,Craíbas,270235
1673,0.612,0.494,0.599,0.774,Delmiro Gouveia,270240
1674,0.532,0.385,0.513,0.762,Dois Riachos,270250
1675,0.534,0.41,0.515,0.72,Estrela De Alagoas,270255
1676,0.533,0.402,0.512,0.736,Feira Grande,270260
1677,0.565,0.462,0.55,0.708,Feliz Deserto,270270
1678,0.527,0.4,0.528,0.693,Flexeiras,270280
1679,0.536,0.405,0.498,0.762,Girau Do Ponciano,270290
1680,0.518,0.393,0.517,0.684,Ibateguara,270300
1681,0.564,0.424,0.547,0.774,Igaci,270310
1682,0.568,0.428,0.556,0.771,Igreja Nova,270320
1683,0.484,0.316,0.501,0.718,Inhapi,270330
1684,0.583,0.481,0.543,0.759,Jacaré Dos Homens,270340
1685,0.548,0.41,0.532,0.755,Jacuípe,270350
1686,0.57,0.451,0.56,0.735,Japaratinga,270360
1687,0.552,0.451,0.532,0.701,Jaramataia,270370
1688,0.556,0.43,0.517,0.772,Jequiá Da Praia,270375
1689,0.531,0.386,0.509,0.764,Joaquim Gomes,270380
1690,0.562,0.434,0.573,0.715,Jundiá,270390
1691,0.575,0.454,0.586,0.714,Junqueiro,270400
1692,0.552,0.443,0.541,0.703,Lagoa Da Canoa,270410
1693,0.58,0.457,0.575,0.742,Limoeiro De Anadia,270420
1694,0.721,0.635,0.739,0.799,Maceió,270430
1695,0.566,0.424,0.566,0.755,Major Isidoro,270440
1696,0.574,0.443,0.556,0.766,Maragogi,270450
1697,0.569,0.46,0.539,0.742,Maravilha,270460
1698,0.642,0.52,0.641,0.793,Marechal Deodoro,270470
1699,0.597,0.487,0.581,0.751,Maribondo,270480
1700,0.577,0.465,0.54,0.766,Mar Vermelho,270490
1701,0.504,0.369,0.506,0.685,Mata Grande,270500
