municipio;estado;codigo;Total_Alunos;Relacao_cadastrados;Casos_per_capita;Mortes_per_capita;Relacao_casos_mes;Relacao_obitos_mes;Diferenca_aprovacao;Diferenca_reprovacao;Diferenca_desistencia;diferenca
Trabiju;São Paulo;3554755.0;9.0;0.005220417633410673;0.0203016241299303;0.0;0.0023201856148491;0.0;4.5;-4.5;0.0;24.444444444444443
Tocos do Moji;Minas Gerais;3169059.0;13.0;0.0031699585466959277;0.0109729334308705;0.0002438429651304;0.0041453304072177;0.0;-3.9000000000000057;-1.9;5.800000000000001;43.50132625994695
Balbinos;São Paulo;3504701.0;5.0;0.0008718395815170009;0.0455100261551874;0.0005231037489102;0.0024411508282476;0.0;0.0;0.0;0.0;70.9090909090909
Porto Rico;Paraná;4120200.0;6.0;0.0023446658851113715;0.0515826494724501;0.0007815552950371;0.0156311059007424;0.0003907776475185;-0.6999999999999886;-4.4;5.1;11.1111111111111
Álvares Florence;São Paulo;3501202.0;9.0;0.002446316933949443;0.0326175591193259;0.0016308779559662;0.0070671378091872;0.0;-2.5999999999999943;2.6;0.0;22.22222222222223
Mário Campos;Minas Gerais;3140159.0;12.0;0.0007784120394395433;0.0189413596263622;0.0007784120394395;0.0077192527244421;0.0001297353399065;-2.3000000000000114;-14.9;17.2;13.974358974358978
Perobal;Paraná;4118857.0;9.0;0.0014689081116370166;0.034764158642076;0.0004896360372123;0.0091398726946303;0.0001632120124041;-2.9000000000000057;-1.4;4.3;51.28205128205127
Santa Cruz de Goiás;Goiás;5219209.0;20.0;0.0070052539404553416;0.0231173380035026;0.0003502626970227;0.0;0.0;6.700000000000003;-6.7;0.0;26.25
Lontras;Santa Catarina;4209904.0;30.0;0.00247320692497939;0.0429513602638087;0.0003297609233305;0.0064303380049464;0.0001648804616652;2.700000000000003;-5.800000000000001;3.1;38.48484848484848
Ibirá;São Paulo;3519402.0;6.0;0.0004841442749939482;0.0497054788993786;0.0010489792624868;0.0110546276123618;0.0;6.200000000000003;-7.4;1.2;60.0
Lago do Junco;Maranhão;2105807.0;49.0;0.00452029520295203;0.0227859778597785;0.0002767527675276;9.225092250922508e-05;9.225092250922508e-05;-3.4000000000000057;1.3;2.1;35.00109721307878
Assis Brasil;Acre;1200054.0;7.0;0.000943777807738978;0.109613051098827;0.0012134286099501;0.0093029526762842;0.0;-1.7999999999999972;0.0;1.7999999999999998;1.7857142857142847
Suzanápolis;São Paulo;3552551.0;10.0;0.0025233409033560434;0.0416351249053747;0.0005046681806712;0.0040373454453696;0.0;0.0;0.0;0.0;8.333333333333329
Miravânia;Minas Gerais;3142254.0;3.0;0.0006137479541734861;0.0010229132569558;0.0;0.0;0.0;-0.29999999999999716;0.0;0.30000000000000027;44.44444444444444
Conselheiro Mairinck;Paraná;4106100.0;9.0;0.00233160621761658;0.0370466321243523;0.0002590673575129;0.0119170984455958;0.0;-2.200000000000003;0.0;2.2;27.55555555555556
Bugre;Minas Gerais;3109253.0;7.0;0.0017579105976896032;0.0660472124560522;0.0015067805123053;0.0148166750376695;0.0007533902561526;0.6000000000000085;0.0;-0.6000000000000001;51.26050420168067
Grandes Rios;Paraná;4108700.0;9.0;0.001601993592025632;0.0266998932004271;0.0003559985760056;0.0103239587041651;0.0;-5.0;5.0;0.0;40.17094017094017
Bom Jesus do Oeste;Santa Catarina;4202578.0;10.0;0.004668534080298786;0.0326797385620915;0.0004668534080298;0.0126050420168067;0.0;-3.0;8.3;-5.3;18.88888888888889
Jumirim;São Paulo;3525854.0;10.0;0.00297000297000297;0.0463320463320463;0.0002970002970002;0.0172260172260172;0.0;-4.299999999999997;4.3;0.0;3.333333333333343
Santo Hipólito;Minas Gerais;3160603.0;5.0;0.0016196954972465176;0.0103660511823777;0.0003239390994493;0.0;0.0003239390994493;-13.5;8.1;5.4;52.727272727272734
Turilândia;Maranhão;2112456.0;10.0;0.00039033529802100003;0.0126858971856825;0.0002342011788126;3.90335298021e-05;3.90335298021e-05;-44.199999999999996;6.1;38.099999999999994;43.87096774193549
Jardim Alegre;Paraná;4112504.0;10.0;0.0008827683615819209;0.0213629943502824;0.0006179378531073;0.0072387005649717;0.0001765536723163;1.8999999999999915;-0.8999999999999999;-1.0;36.66666666666667
Carrapateira;Paraíba;2504108.0;12.0;0.0045129748025573525;0.0440015043249341;0.0003760812335464;0.0086498683715682;0.0;21.200000000000003;-18.2;-3.0;20.28985507246377
Amaralina;Goiás;5200829.0;13.0;0.003410283315844701;0.0044596012591815;0.0;0.0005246589716684;0.0;0.0;0.0;0.0;40.10989010989012
Braúnas;Minas Gerais;3108800.0;6.0;0.0012497396375755051;0.0089564674026244;0.0006248698187877;0.0045823786711101;0.0002082899395959;-6.400000000000006;0.0;6.4;69.04761904761907
Sales;São Paulo;3544806.0;8.0;0.001263623440214816;0.0186384457431685;0.0011056705101879;0.0037908703206444;0.0003159058600537;1.7000000000000028;-1.7;0.0;-10.326086956521742
Santo Antônio do Jardim;São Paulo;3548104.0;23.0;0.0038629492777964396;0.0162915686933154;0.0005038629492777;0.0008397715821296;0.0;-2.700000000000003;2.7;0.0;42.48447204968943
Caxingó;Piauí;2202653.0;24.0;0.004424778761061947;0.0228613569321533;0.0;0.0003687315634218;0.0;-8.0;-1.8;9.8;12.261904761904765
São Gonçalo do Abaeté;Minas Gerais;3161700.0;10.0;0.0011920371915603767;0.0061985933961139;0.000119203719156;0.0009536297532483;0.0;4.0;-1.9;-2.1000000000000005;31.818181818181817
Colônia do Piauí;Piauí;2202778.0;13.0;0.0016980146290491117;0.0192006269592476;0.0001306165099268;0.0019592476489028;0.0;1.0;0.0;-1.0;21.39423076923077
Missal;Paraná;4116059.0;22.0;0.0020556905251354887;0.0476546439917772;0.0004672023920762;0.0150439170248551;9.344047841524947e-05;-9.700000000000003;9.7;0.0;23.818181818181817
Catanduvas;Paraná;4105003.0;17.0;0.0016684659927372657;0.02473255471587;0.0003925802335852;0.0085386200804789;0.0001962901167926;-1.7999999999999972;-0.9;2.7;39.258312020460366
Macuco;Rio de Janeiro;3302452.0;14.0;0.0025004465083050546;0.0573316663689944;0.0005358099660653;0.0210751919985711;0.0;3.0999999999999943;-1.5;-1.6;27.472527472527467
Cristais Paulista;São Paulo;3513207.0;11.0;0.0012744757270304716;0.0267639902676399;0.0003475842891901;0.0152937087243656;0.00011586142973;-1.2999999999999972;0.0;1.3;40.43887147335424
Adrianópolis;Paraná;4100202.0;11.0;0.0018584220307484372;0.0900489947626288;0.0013515796587261;0.0390268626457171;0.000675789829363;0.0;0.0;0.0;33.83838383838384
