Name,CodMun,PIB per Capita,Quantidade de Leitos - Pneumologia,Quantidade de Leitos - Complementares,Quantidade de Leitos - Internacao,Quantidade de Profissionais de Saude,Quantidade de Ventiladores e Respiradores,Ventiladores e Respiradores em uso,Existem Favelas (s/n),Área (km²),Populacao (2019),Densidade Demográfica (hab/km²),Quantidade de Leitos - Pneumologia (por 100 mil hab)
Vilhena-RO,110030,22512,8.00,19.00,206.00,1595,20.00,19.00,0.00,11518.95,99854.00,8.67,8.01
Acrelândia-AC,120001,16067,,,16.00,161,,,0.00,1807.89,15256.00,8.44,
Assis Brasil-AC,120005,9959,,,12.00,130,,,0.00,4974.19,7417.00,1.49,
Brasiléia-AC,120010,12901,,28.00,40.00,459,,,0.00,3916.51,26278.00,6.71,
Bujari-AC,120013,13352,,,,89,,,0.00,3034.85,10266.00,3.38,
Capixaba-AC,120017,16139,,,,96,,,0.00,1702.58,11733.00,6.89,
Cruzeiro do Sul-AC,120020,12123,,31.00,175.00,1644,16.00,14.00,0.00,8779.19,88376.00,10.07,
Epitaciolândia-AC,120025,16644,,,,141,1.00,1.00,0.00,1654.77,18411.00,11.13,
Feijó-AC,120030,8252,,,41.00,227,,,0.00,27974.55,34780.00,1.24,
Jordão-AC,120032,8158,,,10.00,89,,,0.00,5357.30,8317.00,1.55,
Mâncio Lima-AC,120033,9141,,,25.00,220,,,0.00,5453.04,18977.00,3.48,
Manoel Urbano-AC,120034,9549,,,26.00,134,,,0.00,10634.54,9459.00,0.89,
Marechal Thaumaturgo-AC,120035,9220,,,13.00,216,,,1.00,8191.73,18867.00,2.30,
Plácido de Castro-AC,120038,11202,,2.00,52.00,352,1.00,1.00,0.00,1943.25,19761.00,10.17,
Porto Acre-AC,120080,10764,,,,105,,,1.00,2604.72,18504.00,7.10,
Porto Walter-AC,120039,8086,,,14.00,138,,,0.00,6443.85,11982.00,1.86,
Rio Branco-AC,120040,18946,2.00,132.00,877.00,6986,128.00,123.00,1.00,8835.67,407319.00,46.10,0.49
Rodrigues Alves-AC,120042,9511,,,16.00,177,1.00,1.00,0.00,3076.99,18930.00,6.15,
Santa Rosa do Purus-AC,120043,8395,,,16.00,97,,,,6145.62,6540.00,1.06,
Sena Madureira-AC,120050,10585,,,50.00,538,1.00,1.00,0.00,23751.27,45848.00,1.93,
