municipio,PIB,IDHM,densidade,diferenca,estado,Casos_per_capita,Mortes_per_capita,Relacao_casos_mes,Relacao_obitos_mes,Diferenca_aprovacao,Diferenca_reprovacao
São Tiago,16151.97,0.662,19.11,20.175438596491222,Minas Gerais,0.0095055296590805,0.000456996618225,0.0056667580659903,9.139932364500504e-05,2.5999999999999943,-1.4
São Tomás de Aquino,16718.04,0.7,25.26,25.32467532467532,Minas Gerais,0.0203674690215069,0.0007121492664862,0.0094003703176185,0.0001424298532972,-21.40000000000001,13.0
São Tomé,29323.21,0.725,26.17,42.156862745098046,Paraná,0.0391471513456833,0.0001747640685075,0.012233484795526,0.0,8.799999999999997,0.0
São Tomé,9342.43,0.585,12.82,4.545454545454547,Rio Grande do Norte,0.0311171415649027,0.0005427408412483,0.0105834464043419,0.0001809136137494,6.200000000000003,-6.2
São Valentim,28950.58,0.72,21.4,27.450980392156858,Rio Grande do Sul,0.0357684146711124,0.0003031221582297,0.006365565322825,0.0,-4.200000000000003,0.0
São Valentim do Sul,27126.41,0.764,24.31,64.28571428571428,Rio Grande do Sul,0.0388046387154326,0.0004460303300624,0.0151650312221231,0.0,0.0,0.0
São Valério,23925.77,0.643,1.57,-3.333333333333336,Tocantins,0.0136363636363636,0.0,0.0042929292929292,0.0,10.700000000000005,-10.7
São Vicente,15164.69,0.768,2456.24,22.70090781228231,São Paulo,0.0275124522277322,0.0015664383074811,0.0034363227792388,0.0001913624459401,2.299999999999997,-3.9
São Vicente Ferrer,5953.99,0.592,56.92,34.853090172239106,Maranhão,0.0094394749853912,4.494988088281566e-05,4.494988088281566e-05,0.0,1.7000000000000028,-1.3
São Vicente Férrer,15171.75,0.549,158.07,49.22754647813564,Pernambuco,0.0337995337995338,0.0009990009990009,0.0012765012765012,5.55000555000555e-05,1.4000000000000057,-1.4
São Vicente de Minas,21378.89,0.715,19.75,28.07017543859649,Minas Gerais,0.0065780988004643,0.0001289823294208,0.0023216819295756,0.0001289823294208,-24.89999999999999,25.8
São Vicente do Seridó,6733.08,0.555,38.97,21.401985111662533,Paraíba,0.0062180974477958,9.280742459396752e-05,0.0005568445475638,0.0,7.0,-2.3
São Vicente do Sul,29922.16,0.685,7.42,13.089143865842894,Rio Grande do Sul,0.0014906547414287,0.000343997248022,0.0004586629973626,0.0,-0.2000000000000028,-0.2999999999999998
Sério,24533.2,0.652,19.69,40.0,Rio Grande do Sul,0.0285423037716615,0.0015290519877675,0.0147808358817533,0.0015290519877675,0.0,0.0
Sítio Novo,8308.37,0.572,25.87,60.784313725490186,Rio Grande do Norte,0.0121332850416515,0.0005432814197754,0.0007243752263672,0.0001810938065918,12.200000000000005,-2.4
Sítio Novo,9270.75,0.564,5.8,48.08837912332177,Maranhão,0.078590785907859,0.0007742934572202,0.0115590951827885,0.0001106133510314,-36.3,27.0
Sítio Novo do Tocantins,11686.3,0.604,27.86,74.40660474716202,Tocantins,0.0363273895226492,0.0005537711817477,0.0053162033447779,0.0,-6.700000000000003,5.199999999999999
Sítio do Mato,8022.59,0.564,7.43,24.75786924939467,Bahia,0.0046111281893636,7.68521364893944e-05,0.0003074085459575,0.0,-93.7,-1.1
Sítio do Quinto,8196.81,0.533,14.22,32.263814616755795,Bahia,0.0186260765071099,0.0003004205888243,0.0017023833366713,0.0,-85.7,-13.3
Tabaporã,50365.94,0.695,1.14,57.30050933786078,Mato Grosso,0.0572241542839076,0.000737696279903,0.0103277479186426,0.0001053851828432,25.099999999999994,-9.2
Tabapuã,20075.44,0.735,35.9,9.560723514211888,São Paulo,0.0420730232933021,0.0012895945837027,0.0046747803659224,8.059966148142178e-05,0.0,0.0
Tabatinga,15222.13,0.704,44.64,29.971857410881803,São Paulo,0.0307347235693501,0.0010305528612997,0.0046677982541222,0.0001818622696411,0.0,0.0
Tabatinga,9365.33,0.616,20.42,36.39894060230925,Amazonas,0.0355233582406901,0.0013668671405139,0.0051333454832634,4.556223801713141e-05,11.699999999999989,-8.1
Tabaí,21746.23,0.701,49.8,28.148148148148145,Rio Grande do Sul,0.0627251536342445,0.0004238186056367,0.0103835558381012,0.0,-4.1000000000000085,0.0
Tabira,9818.65,0.605,73.54,42.25510204081633,Pernambuco,0.0573351089927805,0.0005957804724188,0.0076049625008761,0.0002102754608537,4.799999999999997,-4.4
Taboleiro Grande,10817.15,0.612,20.68,74.44444444444444,Rio Grande do Norte,0.0307872174590802,0.0011691348402182,0.005066250974279,0.000389711613406,-5.400000000000006,0.0
Taboão da Serra,30423.33,0.769,14274.08,22.21512473828028,São Paulo,0.037253507512152,0.0012704374723817,0.0043429628811312,9.666372072470171e-05,3.5999999999999943,-2.8
Tabuleiro do Norte,11997.07,0.645,35.62,16.769110109982307,Ceará,0.0591262989868716,0.00065152946542,0.0114017656448512,3.257647327100368e-05,1.0999999999999943,0.0
Tacaimbó,15517.9,0.554,56.56,31.91860465116278,Pernambuco,0.0175547615348764,0.0003883796799751,0.0012428149759204,7.767593599502873e-05,7.700000000000003,-7.7
Tacaratu,7067.31,0.573,20.38,30.81279147235177,Pernambuco,0.0263923927809043,0.0006986221618474,0.0024451775664661,0.0001552493692994,3.9000000000000057,-2.8000000000000003
Taciba,25464.7,0.723,10.35,75.11961722488037,São Paulo,0.0313444709626093,0.0006364359586316,0.0119331742243436,0.0003182179793158,2.200000000000003,-2.2
Tacima,7316.91,0.551,44.24,18.4981684981685,Paraíba,0.0140225460544404,0.0003666025112272,0.0014664100449088,0.0,10.299999999999995,-3.6
Tacuru,17127.01,0.593,6.47,30.64516129032258,Mato Grosso do Sul,0.0352319944598337,0.0003462603878116,0.0048476454293628,0.0001731301939058,27.90000000000001,0.0
Taguatinga,14186.27,0.634,6.84,59.897828863346106,Tocantins,0.0131870766648684,0.0002397650302703,0.0026374153329736,0.0,9.799999999999995,-7.899999999999999
