municipio;estado;regiao;Presente;Total_Alunos;populacaoTCU2019;casosAcumulado;obitosAcumulado;casosNovos_Semana;obitosNovos_Semana;Casos_per_capita;Mortes_per_capita;Relacao_Presenca;Relacao_casos_mes;Relacao_obitos_mes;diferenca;codigo
Campos Novos;Santa Catarina;Sul;80.0;115.0;36244.0;6077.0;122;0;0;0.16766913144244563;0.0033660743847257475;0.6956521739130435;0.0;0.0;11.256700416914835;4203600.0
Tijucas;Santa Catarina;Sul;68.0;141.0;38407.0;7231.0;89;10;0;0.1882729710729815;0.002317285911422397;0.48226950354609927;0.0002603692035306064;0.0;35.900033772374194;4218004.0
Passo Fundo;Rio Grande do Sul;Sul;460.0;740.0;203275.0;37749.0;710;15;0;0.18570409543721558;0.003492805312999631;0.6216216216216216;7.379166154224573e-05;0.0;22.33112233112233;4314100.0
Teodoro Sampaio;São Paulo;Sudeste;77.0;113.0;23148.0;2992.0;51;0;0;0.12925522723345428;0.0022032141005702438;0.6814159292035398;0.0;0.0;19.35286935286935;3554300.0
Ribeirão Preto;São Paulo;Sudeste;2298.0;3087.0;703293.0;87266.0;2999;87;1;0.12408199711926608;0.004264225578812814;0.7444120505344995;0.0001237037763776975;1.421882487099971e-06;12.177001632783943;3543402.0
Concórdia do Pará;Pará;Norte;69.0;101.0;33318.0;2803.0;34;0;0;0.08412869920163275;0.0010204694159313284;0.6831683168316832;0.0;0.0;12.688754909010456;1502756.0
Apiaí;São Paulo;Sudeste;63.0;109.0;24374.0;1776.0;85;0;0;0.07286452777549848;0.003487322556822844;0.5779816513761468;0.0;0.0;22.67058486238533;3502705.0
Itapajé;Ceará;Nordeste;577.0;841.0;52675.0;3206.0;138;0;0;0.060863787375415285;0.00261983863312767;0.6860879904875149;0.0;0.0;18.778588338635902;2306306.0
Santa Cruz da Baixa Verde;Pernambuco;Nordeste;28.0;48.0;12592.0;650.0;19;1;0;0.05162007623888183;0.0015088945362134688;0.5833333333333334;7.941550190597205e-05;0.0;31.250000000000004;2612471.0
Fervedouro;Minas Gerais;Sudeste;13.0;24.0;11006.0;1292.0;18;0;0;0.1173905142649464;0.0016354715609667454;0.5416666666666666;0.0;0.0;16.847826086956516;3125952.0
Seropédica;Rio de Janeiro;Sudeste;263.0;417.0;82312.0;3349.0;222;2;2;0.04068665565166683;0.0026970551073962484;0.6306954436450839;2.4297793760326562e-05;2.4297793760326562e-05;21.85507875106949;3305554.0
Contagem;Minas Gerais;Sudeste;1423.0;2248.0;663855.0;49217.0;1918;16;1;0.07413817776472272;0.002889185138320868;0.6330071174377224;2.4101648703406616e-05;1.5063530439629135e-06;23.26775747777593;3118601.0
Itambé;Pernambuco;Nordeste;122.0;154.0;36447.0;1566.0;51;9;0;0.04296649930035394;0.0013992921228084616;0.7922077922077922;0.0002469339040250226;0.0;18.22227983752485;2607653.0
Luzerna;Santa Catarina;Sul;72.0;97.0;5685.0;1129.0;16;0;0;0.19859278803869834;0.002814423922603342;0.7422680412371134;0.0;0.0;14.297786040223084;4210035.0
Caxias do Sul;Rio Grande do Sul;Sul;830.0;1537.0;510906.0;78261.0;1427;110;5;0.15318081995513852;0.0027930773958418967;0.5400130123617437;0.00021530379365284415;9.78653607512928e-06;24.57858042063037;4305108.0
