NO_MUNICIPIO_ESC;Presente;Total_Alunos;regiao;estado;municipio;data;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Casos_per_capita;Mortes_per_capita;Relacao_Presenca
Joinville;1401;2578;Sul;SC;Joinville;2021-11-21;590466.0;118716.0;42;2044;0;0.2010547601386023;0.0034616726449956;0.54344453064391
Salgueiro;266;467;Nordeste;PE;Salgueiro;2021-11-21;60930.0;8133.0;3;119;0;0.1334810438207779;0.0019530608895453;0.569593147751606
Breu Branco;57;128;Norte;PA;Breu Branco;2021-11-21;66046.0;955.0;0;54;0;0.014459619053387;0.0008176119674166;0.4453125
Dois Vizinhos;121;205;Sul;PR;Dois Vizinhos;2021-11-21;40641.0;7022.0;4;99;0;0.1727811815654142;0.002435963681996;0.5902439024390244
Uruçuí;91;118;Nordeste;PI;Uruçuí;2021-11-21;21558.0;4077.0;1;64;0;0.1891177289173392;0.0029687355042211;0.7711864406779662
Mogi Mirim;235;405;Sudeste;SP;Mogi Mirim;2021-11-21;93189.0;12218.0;0;356;0;0.1311098949446823;0.0038201933704621;0.5802469135802469
Santa Maria;1116;1402;Nordeste;RN;Santa Maria;2021-11-21;5551.0;427.0;0;13;0;0.0769230769230769;0.0023419203747072;0.7960057061340942
Santa Inês;437;666;Nordeste;MA;Santa Inês;2021-11-21;89044.0;9284.0;0;220;0;0.1042630609586272;0.0024706886483087;0.6561561561561562
Belém;6648;9137;Norte;PA;Belém;2021-11-21;1492745.0;106969.0;10;5150;0;0.0716592586141638;0.0034500199297267;0.727591113056802
São João de Pirabas;34;62;Norte;PA;São João de Pirabas;2021-11-21;23045.0;336.0;0;43;0;0.0145801692341071;0.0018659145150791;0.5483870967741935
Piripiri;236;345;Nordeste;PI;Piripiri;2021-11-21;63742.0;11100.0;10;202;0;0.1741394998588058;0.0031690251325656;0.6840579710144927
Guarulhos;2757;4689;Sudeste;SP;Guarulhos;2021-11-21;1379182.0;65441.0;76;4979;0;0.0474491401424902;0.0036101109208211;0.5879718490083173
Valença;450;667;Nordeste;BA;Valença;2021-11-21;96562.0;8023.0;0;143;0;0.0830865143638284;0.0014809138170294;0.6746626686656672
